iter,train_loss,val_loss,lr
0,10.85457992553711,10.8563814163208,2.1652231845436375e-07
500,5.0705366134643555,5.083603858947754,0.00010847768154563624
1000,4.4889750480651855,4.553722381591797,0.0002167388407728181
1500,4.051997184753418,4.126748561859131,0.000325
2000,3.721161127090454,3.837477445602417,0.0003244731326993445
2500,3.5205230712890625,3.6566224098205566,0.00032289632688835236
3000,3.3730297088623047,3.5552561283111572,0.0003202809434890242
3500,3.274282932281494,3.4782721996307373,0.00031664582639868354
4000,3.1903469562530518,3.4229605197906494,0.00031201716671926485
4500,3.103274345397949,3.386406660079956,0.00030642831404982377
5000,3.0488269329071045,3.3479108810424805,0.0002999195362019119
5500,2.984179735183716,3.3234076499938965,0.00029253772906907176
6000,2.9437193870544434,3.3030402660369873,0.0002843360787408492
6500,2.901146650314331,3.2667055130004883,0.0002753736782957994
7000,2.867067575454712,3.2684600353240967,0.0002657151020345019
7500,2.813580274581909,3.2479898929595947,0.00025542994022024514
8000,2.7849302291870117,3.2387704849243164,0.0002445922976795847
8500,2.7532198429107666,3.2172510623931885,0.00023328025987537015
9000,2.7071127891540527,3.203843593597412,0.0002215753302991955
9500,2.701237678527832,3.231914758682251,0.00020956184323687497
10000,2.6624562740325928,3.2157235145568848,0.00019732635613798103
10500,2.652716636657715,3.1957385540008545,0.0001849570259674367
11000,2.6126930713653564,3.20896053314209,0.00017254297403256335
11500,2.596261978149414,3.1951096057891846,0.00016017364386201898
12000,2.565445899963379,3.184614658355713,0.00014793815676312507
12500,2.5545425415039062,3.1897058486938477,0.00013592466970080452
13000,2.543879508972168,3.1801717281341553,0.0001242197401246299
13500,2.511401414871216,3.1809439659118652,0.00011290770232041527
14000,2.4915852546691895,3.1672515869140625,0.00010207005977975488
14500,2.48587703704834,3.1823558807373047,9.178489796549809e-05
15000,2.4679415225982666,3.166451930999756,8.212632170420061e-05
15500,2.461991310119629,3.1593353748321533,7.316392125915081e-05
16000,2.4433844089508057,3.1739308834075928,6.496227093092825e-05
16500,2.4272186756134033,3.1700997352600098,5.75804637980881e-05
17000,2.4207870960235596,3.1776373386383057,5.107168595017623e-05
17500,2.4128074645996094,3.1651740074157715,4.548283328073514e-05
18000,2.4064362049102783,3.163804531097412,4.085417360131643e-05
18500,2.408440113067627,3.1626272201538086,3.721905651097579e-05
19000,2.3863937854766846,3.167194128036499,3.460367311164764e-05
19500,2.398139476776123,3.134871006011963,3.3026867300655493e-05
20000,2.3877105712890625,3.153146982192993,3.25e-05
